County,Population 5-11,Population 12-17,Population 5+,Population 12+,Population 65+,Total Population
Alachua,19429,21043.199999999997,258736,239307,39810,272746
Baker,2740,2265,27074,24334,4067,28864
Bay,14327,11853.6,167679,153352,33126,177856
Bradford,2214,1822.8000000000002,27387,25173,5191,28906
Brevard,43486,38833.2,583385,539899,147991,611202
Broward,160586,136860.6,1852867,1692281,336796,1965657
Calhoun,1183,1049.4,14287,13104,2841,15008
Charlotte,8667,7905,182580,173913,76723,188061
Citrus,8709,7641.6,145746,137037,55549,151314
Clay,20294,18224.4,211370,191076,36535,223483
Collier,25588,22994.4,376747,351159,129633,393793
Columbia,6087,5130,67171,61084,13734,71288
Desoto,2653,2404.2,34803,32150,8245,36613
Dixie,1229,1038,15971,14742,3963,16738
Duval,87818,70273.2,934514,846696,145007,1002075
Escambia,26549,24466.800000000003,307570,281021,56074,327107
Flagler,7550,7131.6,112192,104642,36393,116671
Franklin,728,622.8,11778,11050,2966,12295
Gadsden,3886,3340.2,43699,39813,8696,46481
Gilchrist,1425,1363.8,17251,15826,3764,18218
Glades,772,753.6,12899,12127,3665,13290
Gulf,1106,888.5999999999999,14129,13023,3927,14829
Hamilton,1039,954.5999999999999,13851,12812,2705,14648
Hardee,2803,2382.6,25727,22924,4809,27585
Hendry,4329,3586.2,37962,33633,5631,40936
Hernando,14004,12369,186290,172286,53678,195123
Highlands,7011,5986.8,100545,93534,37889,105105
Hillsborough,131031,111872.4,1417396,1286365,219352,1508560
Holmes,1538,1372.2,19083,17545,4036,20211
Indian River,9657,8856,154227,144570,54400,160707
Jackson,3343,3105.6000000000004,44792,41449,9741,47261
Jefferson,986,843,14256,13270,3665,14887
Lafayette,705,694.8,8446,7741,1518,8799
Lake,28089,24258,359389,331300,102242,377680
Lee,52144,46294.2,738212,686068,225470,773456
Leon,21795,25484.4,287773,265978,42164,303541
Levy,3260,2670.6,39710,36450,10524,41859
Liberty,583,544.8,8449,7866,1326,8837
Madison,1410,1200.6,18382,16972,4071,19299
Manatee,28627,24964.2,387004,358377,113781,405480
Marion,26979,22926,354159,327180,108683,372469
Martin,10168,9198,156129,145961,51330,162810
Miami-Dade,226130,196555.8,2749608,2523478,486183,2918507
Monroe,4458,3682.2,72921,68463,18129,76335
Nassau,6998,5849.4,84631,77633,20347,89151
Okaloosa,18106,14181,193095,174989,33668,206418
Okeechobee,3477,2912.4,39869,36392,8538,42449
Orange,124840,110580,1369568,1244728,179437,1457445
Osceola,38076,33550.2,376817,338741,54266,401594
Palm Beach,108526,97075.8,1410416,1301890,361966,1486178
Pasco,44088,37853.4,521221,477133,124451,549517
Pinellas,61164,53810.399999999994,950340,889176,252022,992298
Polk,61955,54464.399999999994,678404,616449,147122,719665
Putnam,6081,5100,69205,63124,17408,73398
Saint Johns,24024,21507,261818,237794,56834,275222
Saint Lucie,24772,21553.8,306013,281241,79416,322154
Santa Rosa,16027,13812.599999999999,176590,160563,30559,186998
Sarasota,24028,22290,425883,401855,164723,441179
Seminole,39812,35093.4,461372,421560,77793,486795
Sumter,3823,3189,134692,130869,79884,137317
Suwannee,3853,3349.2,44020,40167,10108,46509
Taylor,1786,1435.8,21534,19748,4776,22762
Total,1688211,1479544.8,20807254,19119043,4584066,21975117
Union,1221,1030.2,14703,13482,2357,15511
Volusia,37731,34284,526525,488794,137573,552328
Wakulla,2702,2419.8,32053,29351,5377,33815
Walton,6037,4767,70267,64230,15049,74427
Washington,1971,1731,24077,22106,4369,25397
